label,importance_type,patch_index,importance
cv_720h_fold1,patch_attention_layer1,123,0.0002483749995008111
cv_720h_fold1,patch_attention_layer1,124,0.0002967864857055247
cv_720h_fold1,patch_attention_layer1,125,0.0010535044129937887
cv_720h_fold1,patch_attention_layer1,126,0.000920643680728972
cv_720h_fold1,patch_attention_layer1,127,0.0041823317296803
cv_720h_fold1,patch_attention_layer1,128,0.004321631509810686
cv_720h_fold1,patch_attention_layer1,129,0.00031221602694131434
cv_720h_fold1,patch_attention_layer1,130,0.001049271784722805
cv_720h_fold1,patch_attention_layer1,131,0.0018338540103286505
cv_720h_fold1,patch_attention_layer1,132,0.003737004240974784
cv_720h_fold1,patch_attention_layer1,133,0.0010674806544557214
cv_720h_fold1,patch_attention_layer1,134,0.0004986987914890051
cv_720h_fold1,patch_attention_layer1,135,0.0006831853534094989
cv_720h_fold1,patch_attention_layer1,136,0.001427016337402165
cv_720h_fold1,patch_attention_layer1,137,0.0072506205178797245
cv_720h_fold1,patch_attention_layer1,138,0.0019385688938200474
cv_720h_fold1,patch_attention_layer1,139,0.01999562606215477
cv_720h_fold1,patch_attention_layer1,140,0.016399269923567772
cv_720h_fold1,patch_attention_layer1,141,0.024790911003947258
cv_720h_fold1,patch_attention_layer1,142,0.025421004742383957
cv_720h_fold1,patch_attention_layer1,143,0.02898656576871872
cv_720h_fold1,patch_attention_layer1,144,0.014941466972231865
cv_720h_fold1,patch_attention_layer1,145,0.013022181577980518
cv_720h_fold1,patch_attention_layer1,146,0.0001159418752649799
cv_720h_fold1,patch_attention_layer1,147,0.0029424778185784817
cv_720h_fold1,patch_attention_layer1,148,0.001392546109855175
cv_720h_fold1,patch_attention_layer1,149,0.0023300801403820515
cv_720h_fold1,patch_attention_layer1,150,8.870517194736749e-05
cv_720h_fold1,patch_attention_layer1,151,0.011954248882830143
cv_720h_fold1,patch_attention_layer1,152,0.016506314277648926
cv_720h_fold1,patch_attention_layer1,153,0.0007690388010814786
cv_720h_fold1,patch_attention_layer1,154,0.0010245641460642219
cv_720h_fold1,patch_attention_layer1,155,0.001415916602127254
cv_720h_fold1,patch_attention_layer1,156,0.003304652636870742
cv_720h_fold1,patch_attention_layer1,157,0.003727367613464594
cv_720h_fold1,patch_attention_layer1,158,0.004299903754144907
cv_720h_fold1,patch_attention_layer1,159,0.00872781127691269
cv_720h_fold1,patch_attention_layer1,160,0.005055609624832869
cv_720h_fold1,patch_attention_layer1,161,0.004528704099357128
cv_720h_fold1,patch_attention_layer1,162,0.002103421138599515
cv_720h_fold1,patch_attention_layer1,163,0.006130321882665157
cv_720h_fold1,patch_attention_layer1,164,0.003544310573488474
cv_720h_fold1,patch_attention_layer1,165,0.00021224722149781883
cv_720h_fold1,patch_attention_layer1,166,0.0001577447255840525
cv_720h_fold1,patch_attention_layer1,167,0.00014078494859859347
cv_720h_fold1,patch_attention_layer1,168,0.0007186521543189883
cv_720h_fold1,patch_attention_layer1,169,0.011572183109819889
cv_720h_fold1,patch_attention_layer1,170,0.003978576976805925
cv_720h_fold1,patch_attention_layer1,171,0.002293802797794342
cv_720h_fold1,patch_attention_layer1,172,0.004025208298116922
cv_720h_fold1,patch_attention_layer1,173,0.0013055045856162906
cv_720h_fold1,patch_attention_layer1,174,0.027609389275312424
cv_720h_fold1,patch_attention_layer1,175,0.0007628756575286388
cv_720h_fold1,patch_attention_layer1,176,0.007161021698266268
cv_720h_fold1,patch_attention_layer1,177,0.039296917617321014
cv_720h_fold1,patch_attention_layer1,178,0.011670407839119434
cv_720h_fold1,patch_attention_layer1,179,0.04321341589093208
cv_720h_fold2,patch_attention_layer1,0,0.005626276135444641
cv_720h_fold2,patch_attention_layer1,1,0.004158819559961557
cv_720h_fold2,patch_attention_layer1,2,0.03766394034028053
cv_720h_fold2,patch_attention_layer1,3,0.013286304660141468
cv_720h_fold2,patch_attention_layer1,4,0.027399545535445213
cv_720h_fold2,patch_attention_layer1,5,0.024714598432183266
cv_720h_fold2,patch_attention_layer1,6,0.013089132495224476
cv_720h_fold2,patch_attention_layer1,7,0.00022674381034448743
cv_720h_fold2,patch_attention_layer1,8,0.0027208963874727488
cv_720h_fold2,patch_attention_layer1,9,0.0016427406808361411
cv_720h_fold2,patch_attention_layer1,10,0.024702519178390503
cv_720h_fold2,patch_attention_layer1,11,0.00195873761549592
cv_720h_fold2,patch_attention_layer1,12,0.014641670510172844
cv_720h_fold2,patch_attention_layer1,13,0.005259788129478693
cv_720h_fold2,patch_attention_layer1,14,0.007087435573339462
cv_720h_fold2,patch_attention_layer1,15,0.0026396724861115217
cv_720h_fold2,patch_attention_layer1,16,0.0023636857513338327
cv_720h_fold2,patch_attention_layer1,17,0.001618370646610856
cv_720h_fold2,patch_attention_layer1,18,0.001553045934997499
